AF_ID,Author_ID,Paper_ID,publication_affiliation,keywords in title bool,results
5.20E+01,38158765400,146378,"Department of Computer Sciences, State University of New York, Stony Brook, Stony Brook, NY, USA",TRUE,Academic Institution
5.30E+01,38222533200,146378,"Department of Computer Sciences, State University of New York, Stony Brook, Stony Brook, NY, USA",TRUE,Academic Institution
5.40E+01,37282578800,146381,"FB-Informatik, Universität Kaiserslautern",TRUE,Academic Institution
5.50E+01,38181577200,146381,"FB-Informatik, Universität Kaiserslautern",TRUE,Academic Institution
5.60E+01,38222534800,146381,"Mechanical Design Division, Hewlett-Packard GmbH",FALSE,Private Corporation
5.70E+01,37271525400,146383,"Department of Computer Sciences, Monash University, Melbourne, Australia",TRUE,Academic Institution
5.80E+01,38225435000,146382,"Department of Civil Engineering, Ohio State Uinversity, USA",FALSE,Private Corporation
5.90E+01,38222589100,146382,"Department of Civil Engineering, Ohio State Uinversity, USA",FALSE,Private Corporation
6.00E+01,38223917500,146382,"The Ohio Supercomputer Graphics Project, Ohio Supercomputing Center",FALSE,Private Corporation
6.10E+01,38225773100,146382,"The Ohio Supercomputer Graphics Project, Ohio Supercomputing Center",FALSE,Private Corporation
6.20E+01,37301161800,146384,"Electronic Visualization Laboratory, University of Illinois, Chicago, USA",TRUE,Academic Institution
6.30E+01,37621252300,146384,"Electronic Visualization Laboratory, University of Illinois, Chicago, USA",TRUE,Academic Institution
6.40E+01,37086974762,146384,"Electron. Visualization Lab., Illinois Univ., Chicago, IL, USA",TRUE,Academic Institution
6.50E+01,38225470800,146385,"Department of Computational Science, University of Saskatchewan, Saskatoon, SAS, Canada",TRUE,Academic Institution
6.60E+01,38222550000,146385,"Department of Computer Sciences, Johns Hopkins University, Baltimore, MD, USA",TRUE,Academic Institution
6.70E+01,38225805300,146386,"Computer Science Department, Worcester Polytechnic Institute, Worcester, MA, USA",TRUE,Academic Institution
6.80E+01,37268441700,146386,"Computer Science Department, Worcester Polytechnic Institute, Worcester, MA, USA",TRUE,Academic Institution
6.90E+01,38223933400,146386,"Civil Engineering Department, Worcester Polytechnic Institute, Worcester, MA, USA",TRUE,Academic Institution
7.00E+01,37314757900,146389,"Department of Physics, Temple University, Philadelphia, PA, USA",TRUE,Academic Institution
7.10E+01,37312472600,146389,"Department of Physics, Temple University, Philadelphia, PA, USA",TRUE,Academic Institution
7.20E+01,37567607700,146389,"Department of Physics, Temple University, Philadelphia, PA, USA",TRUE,Academic Institution
7.30E+01,37938366000,146389,"Department of Physics, Temple University, Philadelphia, PA, USA",TRUE,Academic Institution
7.40E+01,37393753600,146388,"Computer Science Department, Arizona State University, Tempe, AZ, USA",TRUE,Academic Institution
7.50E+01,37356915500,146388,"Computer Science Department, Arizona State University, Tempe, AZ, USA",TRUE,Academic Institution
7.60E+01,37382195100,146391,"ART COM e.V., Berlin, Germany",FALSE,Private Corporation
7.70E+01,38223707500,146390,"Applied Mechanics Division III, Sandia National Laboratories, Albuquerque, NM, USA",FALSE,Private Corporation
7.80E+01,38182442500,146390,"Engineering Computer Graphics Laboratory, Civil Engineering Department, Brigham Young University, Provo, UT, USA",TRUE,Academic Institution
7.90E+01,38222534300,146392,"Institut Français du Pétrole, France",FALSE,Private Corporation
8.00E+01,38224108700,146392,"Institut Français du Pétrole, France",FALSE,Private Corporation
8.10E+01,38220531600,146395,"Department of Computer Sciences, University of Utah, Salt Lake, UT, USA",TRUE,Academic Institution
8.20E+01,37269827100,146395,"Department of Computer Sciences, University of Utah, Salt Lake, UT, USA",TRUE,Academic Institution
8.30E+01,37371403900,146393,"Department of Computer Sciences, Princeton University, Princeton, NJ, USA",TRUE,Academic Institution
8.40E+01,38222550000,146393,"Department of Computer Sciences, Johns Hopkins University, Baltimore, MD, USA",TRUE,Academic Institution
8.50E+01,38226089400,146393,"Department of Computer Sciences, Johns Hopkins University, Baltimore, MD, USA",TRUE,Academic Institution
8.60E+01,38225685300,146394,"Department of Electrical Engineering, University of Florida, Gainesville, FL, USA",TRUE,Academic Institution
8.70E+01,37349154000,146394,"Department of Electrical Engineering, University of Florida, Gainesville, FL, USA",TRUE,Academic Institution
8.80E+01,37355358000,146396,"Computer Science Department, Arizona State University, Tempe, AZ, USA",TRUE,Academic Institution
8.90E+01,37839171900,146399,"Los Alamos National Laboratory, Los Alamos, NM, USA",FALSE,Private Corporation
9.00E+01,38169454400,146397,"Wavefront Technologies, Inc., Santa Barbara, CA, USA",FALSE,Private Corporation
9.10E+01,38227333000,146397,"Wavefront Technologies, Inc., Santa Barbara, CA, USA",FALSE,Private Corporation
9.20E+01,38161322300,146397,"Wavefront Technologies, Inc., Santa Barbara, CA, USA",FALSE,Private Corporation
9.30E+01,38226540000,146397,"Wavefront Technologies, Inc., Santa Barbara, CA, USA",FALSE,Private Corporation
9.40E+01,37419567600,146400,"Department of Electrical Engineering & Computer Sciences, University of Illinois, Chicago, USA",TRUE,Academic Institution
9.50E+01,37372689000,146401,"Silicon Graphics Computer Systems, Mountain View, CA, USA",FALSE,Private Corporation
9.60E+01,37618567100,146398,"NASA Ames Research Center, Moffett Field, CA, USA",FALSE,Private Corporation
9.70E+01,38224462600,146398,"Sterling Software, NASA Ames Research Center, Moffett Field, CA, USA",FALSE,Private Corporation
9.80E+01,38001495100,146398,"Los Altos Hills, CA, USA",FALSE,Private Corporation
9.90E+01,37612624400,146398,"Crystal River Engineering, Inc., Groveland, CA, USA",FALSE,Private Corporation
1.00E+02,37294162600,146402,"IBM Scientific Center, Los Angeles, CA, USA",FALSE,Private Corporation
1.01E+02,37426169800,146402,"IBM Scientific Center, Los Angeles, CA, USA",FALSE,Private Corporation
1.02E+02,38221998500,146403,"Fachbereich Informatik, Universität Kaiserslautern",TRUE,Academic Institution
1.03E+02,38224911100,146412,"Boeing Computer Services, Inc., Seattle, WA, USA",FALSE,Private Corporation
1.04E+02,38224901300,146414,"Pacific Interface, New York, NY, USA",FALSE,Private Corporation
1.05E+02,38222512800,146413,"Division of Experimental Neurology and Neurosurgery, Washington University School of Medicine, Saint Louis, MO, USA",TRUE,Academic Institution
1.06E+02,38222513300,146413,"Department of Physiological and Biological Sciences, Maharishi International University and Vital Images, Inc., Fairfield, IA, USA",TRUE,Academic Institution
1.07E+02,38222511400,146413,"Department of Physiological and Biological Sciences, Maharishi International University and Vital Images, Inc., Fairfield, IA, USA",TRUE,Academic Institution
1.08E+02,38222505100,146417,"Precision Visuals, Inc., Boulder, CO, USA",FALSE,Private Corporation
1.09E+02,38227569300,146415,"Research Computing Services, Syracuse University, Syracuse, NY, USA",TRUE,Academic Institution
1.10E+02,38222513900,146415,"Research Computing Services, Syracuse University, Syracuse, NY, USA",TRUE,Academic Institution
1.11E+02,37299567100,175767,"National Center for Supercomputing Applications, Champaign, IL, USA",FALSE,Private Corporation
1.12E+02,37387962300,146419,"Sandia National Laboratories, USA",FALSE,Private Corporation
1.13E+02,38221967100,146419,"University of New Mexico, USA",TRUE,Academic Institution
1.14E+02,37274132700,175770,"Department of Electrical and Computer Engineering & CAIP, Rutgers University, Piscataway, NJ, USA",TRUE,Academic Institution
1.15E+02,38225199300,175770,"Department of Electrical and Computer Engineering & CAIP, Rutgers University, Piscataway, NJ, USA",TRUE,Academic Institution
1.16E+02,37333395400,175770,"Department of Mech. and Aero. Engineering & CAIP, Rutgers University, Piscataway, NJ, USA",TRUE,Academic Institution
1.17E+02,37428175700,146418,"Applied Physics Laboratory, Johns Hopkins University, Laurel, MD, USA",TRUE,Academic Institution
1.18E+02,37326689900,146418,"Applied Physics Laboratory, Johns Hopkins University, Laurel, MD, USA",TRUE,Academic Institution
