38241856300,Author_ID,Paper_ID
1,37270681400,146361
2,37378731100,146361
3,38158227200,146359
4,37274095200,146359
5,37671091700,146360
6,37667865200,146360
7,37671091300,146360
8,38222555400,146360
9,38223652700,146360
10,38220532900,146360
11,38222638800,146362
12,37332039100,146364
13,37283754100,146363
14,37282068700,146363
15,38224081700,146366
16,38226960900,146365
17,38222557000,146365
18,38183096100,146367
19,37349884100,146367
20,37349871000,146367
21,38156954600,146369
22,37282570100,146369
23,38225586000,146369
24,38140574900,146369
25,37673708000,146368
26,37355901300,146368
27,38224229700,146368
28,37684312600,146368
29,38225786100,146368
30,38224474700,146368
31,37347480400,146371
32,37281754200,146371
33,37424740200,146371
34,37333439100,146370
35,37283077400,146370
36,38226976000,146370
37,37388066800,146372
38,38222544200,146373
39,37352200300,146376
40,38222492800,146375
41,37380191400,146375
42,38221269900,146374
43,38222535800,146374
44,37377633100,146374
45,38224131700,146374
46,37070774300,146377
47,37300594200,146377
48,37378511100,146379
49,37357427000,146379
50,37268052800,146378
51,37342422500,146378
52,38158765400,146378
53,38222533200,146378
54,37282578800,146381
55,38181577200,146381
56,38222534800,146381
57,37271525400,146383
58,38225435000,146382
59,38222589100,146382
60,38223917500,146382
61,38225773100,146382
62,37301161800,146384
63,37621252300,146384
64,37086974762,146384
65,38225470800,146385
66,38222550000,146385
67,38225805300,146386
68,37268441700,146386
69,38223933400,146386
70,37314757900,146389
71,37312472600,146389
72,37567607700,146389
73,37938366000,146389
74,37393753600,146388
75,37356915500,146388
76,37382195100,146391
77,38223707500,146390
78,38182442500,146390
79,38222534300,146392
80,38224108700,146392
81,38220531600,146395
82,37269827100,146395
83,37371403900,146393
84,38222550000,146393
85,38226089400,146393
86,38225685300,146394
87,37349154000,146394
88,37355358000,146396
89,37839171900,146399
90,38169454400,146397
91,38227333000,146397
92,38161322300,146397
93,38226540000,146397
94,37419567600,146400
95,37372689000,146401
96,37618567100,146398
97,38224462600,146398
98,38001495100,146398
99,37612624400,146398
100,37294162600,146402
101,37426169800,146402
102,38221998500,146403
103,38224911100,146412
104,38224901300,146414
105,38222512800,146413
106,38222513300,146413
107,38222511400,146413
108,38222505100,146417
109,38227569300,146415
110,38222513900,146415
111,37299567100,175767
112,37387962300,146419
113,38221967100,146419
114,37274132700,175770
115,38225199300,175770
116,37333395400,175770
117,37428175700,146418
118,37326689900,146418
119,37631217900,146418
120,37664444100,146418
121,37268582900,146418
122,37388808200,175771
123,37671515100,175771
124,38227300900,175772
125,37938882400,175772
126,37377256900,175773
127,37671515100,175773
128,37671524000,175773
129,37282570000,175777
130,38168664800,175777
131,38179868800,175780
132,38225773500,175776
133,38161597000,175776
134,37336015300,175776
135,38226162500,175776
136,37280925600,175776
137,37349272100,175776
138,37418915200,175778
139,37284618000,175778
140,37285537200,175778
141,37284115400,175778
142,38220609700,175778
143,38226866400,175778
144,37267322600,175778
145,38224624000,175781
146,38111071800,175781
147,38225762300,175781
148,38099457200,175781
149,37283754100,175782
150,37282068700,175782
151,37371985200,175784
152,38275540400,175784
153,37298498100,175784
154,37370696100,175784
155,37267387800,175785
156,37378427200,175787
157,37086987129,175787
158,37347480400,175790
159,37281754200,175790
160,38181564900,175786
161,38221911200,175786
162,37269957800,175786
163,37282730100,175789
164,37378427600,175789
165,37378427200,175789
166,38221881400,175791
167,37388907800,175792
168,38227614600,175792
169,37314757900,175796
170,37567607700,175796
171,37938366000,175796
172,37591245700,175794
173,37613372700,175794
174,38224573600,175794
175,37373699500,175794
176,37352200300,175799
177,38224220100,175797
178,37268441700,175797
179,37974090900,175802
180,37355728400,175802
181,37393753600,175804
182,37356915500,175804
183,37276270800,175801
184,37618336200,175801
185,37372075800,175801
186,37272738600,175801
187,37386999400,175800
188,37301346300,175800
189,37377532500,175800
190,37378970600,175800
191,38161624900,175800
192,37064514200,175806
193,38225641700,175806
194,38165288100,175809
195,37360588500,175809
196,38227675400,175809
197,37342422500,175805
198,37268052800,175805
199,38225529300,175805
200,37389499500,175807
201,37374054100,175807
202,38227139100,175812
203,38227658000,175812
204,37086990245,175812
205,37284273900,175811
206,38227501100,175811
